"p4-3200-gentoo"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"
"rijndael"	11,689	8,859	17,196	16,165	37,044	28,595	19,715	33,607	29,896	22,529
"saferplus"		3,759						2,840		3,299
"serpent"	4,348	5,880	6,143	3,658		5,474			24,028	8,787
"skipjack"								7,119		7,119
"twofish"	14,337	24,547	18,076	4,717		19,723		30,906		18,718
"xtea"		8,801	18,610	9,079				22,147		14,659
										
"p3-1000-debian-etch"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"
"3des"	1,908	1,148	2,202	1,558	3,794	1,314		1,992		1,988
"anubis"								9,159		9,159
"blowfish"	4,772	13,041	11,185	11,131	17,338	8,739	15,919	16,558		12,335
"cast5"	6,893	8,139	9,342	8,847	11,036	8,733		14,192		9,597
"cast6"		6,006	4,462	6,383						5,617
"gost"		5,910	5,206	4,260						5,126
"khazad"								8,385		8,385
"loki97"		3,745								3,745
"noekeon"								10,022		10,022
"rijndael"	6,704	5,669	7,752	7,790	14,682	9,253	8,850	13,191	12,932	9,647
"saferplus"		1,569						1,485		1,527
"serpent"	3,493	5,676	4,432	5,602		4,021			8,729	5,609
"skipjack"								2,284		2,284
"twofish"	7,543	12,601	9,006	11,716		9,465		13,020		10,558
"xtea"		5,779	7,285	3,228				7,392		5,921
										
"p2-300-debian-etch"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"
"3des"	582	311	638	601	1,132	407		562		605
"anubis"								2,638		2,638
"blowfish"	1,451	3,155	3,276	3,398	4,245	2,570	4,679	4,901		3,459
"cast5"	2,064	3,102	2,785	901	3,316	2,582		4,246		2,714
"cast6"		2,077	1,304	614						1,332
"gost"		1,450	1,583	811						1,281
"khazad"								2,289		2,289
"loki97"		719								719
"noekeon"								2,955		2,955
"rijndael"	1,939	1,298	2,131	1,787	4,409	2,754	2,614	3,785	3,626	2,705
"saferplus"		473						91		282
"serpent"	1,015	1,366	1,323	487		1,227			2,599	1,458
"skipjack"								1,028		1,028
"twofish"	2,239	3,326	2,656	681		2,797		3,879		2,596
"xtea"		969	2,155	959				2,251		1,584
